intent,value
درود,سلام
درود,سلام چطور میتونم کمک کنم؟
درود,سلام رفیق
درود,سلام درخدمتم
درود,چی میخری؟
درود,سلام روز بخیر
درود,در خدمتم
درود,سلام بامرام
درود,سلام دوست من
درود,سلام درخواستت چیه؟
تنفر,لطفا از موضوع خارج نشو
تنفر,از کلمات بهتر استفاده کن
تنفر,درست صحبت کن
تنفر,حرفت جالب نبود
تنفر,درمورد خرید صحبت کن
تنفر,حرف توهین امیز نزن
کیلویی,چند کیلو؟
دونه ای,چه تعداد؟
بله,بله
خیر,خیر
عدد,عدد
درود,سلام جیگر طلا
درود,سلام و درود
درود,سلام خدمت شما
درود,حالتون چطوره؟
درود,خوبین شما؟
درود,سلام خوبین شما؟
درود,سلام جیگر
درود,سلام و درود بسیار
درود,سلام خدمتتون
درود,چطوری؟
درود,درود بیکران
درود,درود بر تو و خاندانت
درود,سلام و درود
درود,تو چطوری؟
درود,درود خداوند بر تو
درود,درودی بسیار
درود,درود بسیار
درود,درود فراوان
درود,درود بر شما
درود,درود بر تو
درود,درود بر تو ای دوست
درود,دورد و سلامتان باد
درود,درود جهان آفرین بر تو باد
درود,سلام بر تو و خاندانت
درود,سلام فرمانده
درود,سلام فراوان
درود,سلامی بسیار
درود,سلام بسیار
درود,سلام خدا بر تو
درود,سلام بر تو ای دوست
درود,سلام بر شما
درود,سلام به روی ماهت
درود,دورد به روی ماهت
درود,سلام بر تو ای دوست
درود,سلام جهان آفرین بر تو باد
درود,سلام چه خبرا؟
درود,دورد چه خبرا؟
درود,سلام سلام
درود,روز بخیر
درود,سلام علیکم
درود,درود روز بخیر
تنفر,ذهر مار
تنفر,مرض
تنفر,کوفت
